"node_1", "node_2"
0, 2
0, 1
1, 2
2, 3
3, 4
2, 5
5, 6
2, 7
5, 7
7, 8
8, 9
8, 10
8, 17
9, 10
10, 11
10, 13
11, 12
12, 13
13, 14
14, 15
15, 16
10, 17
11, 17
17, 30
17, 18
18, 35
35, 19
17, 19
30, 31
31, 32
32, 33
33, 35
33, 20
19, 20
20, 34
34, 24
20, 21
21, 22
20, 23
22, 23
19, 23
31, 36
36, 37
17, 37
37, 38
38, 39
39, 40
40, 41
41, 42
37, 40
37, 23
37, 29
37, 43
43, 44
44, 45
43, 46
46, 47
47, 48
48, 49
49, 50
46, 56
29, 28
28, 23
28, 27
27, 26
27, 24
26, 25
25, 24
37, 51
37, 57
51, 52
52, 53
53, 56
56, 55
55, 54
54, 53
52, 57
51, 57
52, 23
23, 57
57, 58
57, 59
58, 59
59, 60
57, 61
59, 61
60, 61
61, 62
62, 63
63, 67
62, 67
67, 64
64, 65
65, 66
66, 67
67, 68
68, 69
67, 69
69, 70
70, 71
71, 72
69, 72
72, 73
73, 74
72, 74
74, 75
