id, x, y, dx, dy
0, 265, 1018, 234, 50
1, 343, 1155, 265, 50
2, 420, 1292, 182, 43
3, 199, 1531, 209, 54
4, 48, 1386, 176, 80
5, 183, 1693, 333, 67
6, 269, 1838, 330, 53
7, 504, 1345, 176, 95
8, 669, 1642, 177, 99
9, 864, 1649, 127, 94
10, 1002, 1647, 182, 93
11, 1198, 1645, 134, 89
12, 931, 1278, 313, 57
13, 895, 1141, 263, 65
14, 815, 1012, 323, 52
15, 745, 876, 318, 55
16, 774, 737, 202, 55
17, 1346, 1645, 215, 96
18, 1633, 1652, 147, 85
19, 1889, 1645, 203, 101
20, 2124, 1643, 154, 57
21, 2369, 1641, 236, 61
22, 2634, 1640, 284, 60
23, 3061, 1647, 292, 50
24, 2357, 1330, 232, 53
25, 2490, 1178, 286, 48
26, 2715, 1332, 77, 102
27, 2792, 1332, 92, 102
28, 2395, 1109, 400, 58
29, 2505, 1029, 241, 46
30, 1453, 1195, 142, 96
31, 1530, 1091, 139, 66
32, 1975, 1061, 200, 100
33, 2054, 1240, 143, 48
34, 2139, 1300, 151, 92
35, 1753, 1336, 194, 104
36, 1617, 965, 137, 59
37, 2307, 729, 153, 58
38, 2023, 628, 261, 61
39, 1943, 496, 277, 58
40, 1871, 367, 221, 60
41, 1790, 230, 139, 56
42, 1717, 89, 304, 68
43, 2471, 590, 282, 100
44, 2587, 501, 241, 52
45, 2717, 368, 188, 53
46, 2926, 527, 260, 57
47, 3500, 677, 263, 61
48, 3627, 885, 156, 41
49, 3725, 1018, 187, 104
50, 3466, 1288, 208, 65
51, 2899, 792, 154, 92
52, 3251, 720, 178, 100
53, 3111, 410, 158, 102
54, 3162, 277, 205, 62
55, 3260, 93, 214, 58
56, 3720, 59, 217, 55
57, 3268, 1690, 199, 92
58, 3363, 1806, 174, 95
59, 3786, 1870, 150, 101
60, 3792, 2114, 144, 104
61, 3265, 1981, 291, 97
62, 3063, 2184, 283, 60
63, 3158, 1873, 193, 93
64, 2840, 1950, 185, 56
65, 2521, 1757, 187, 101
66, 2327, 1752, 182, 103
67, 2500, 2185, 223, 54
68, 2321, 2021, 187, 57
69, 2086, 2185, 257, 59
70, 1915, 1982, 219, 89
71, 1717, 2188, 199, 47
72, 1495, 2023, 250, 53
73, 1309, 2182, 271, 58
74, 1105, 2017, 234, 62
75, 865, 2180, 319, 60
