id, station_name, zone
0, Willowfield, 1
1, Hemdon Park, 1
2, Beechly, 1
3, Cadoxton, 1
4, Stepford Bay, 1
5, Financial Quarter, 1
6, Stepford Victoria, 1
7, City Hospital, 1
8, Stepford Central, 2
9, Four Ways, 2
10, Stepford East, 2
11, High Street, 2
12, Whitefield Lido, 2
13, Stepford UFC, 2
14, Woodhead Lane, 2
15, Hougton Rake, 2
16, Whitefield, 2
17, St. Helens Bridge, 3
18, New Harrow, 3
19, Elsmere Junction, 3
20, Berrily, 3
21, East Berrily, 3
22, Beauleu Park, 6
23, Morganstown, 6
24, Greenslade, 3
25, Robinson Way, 3
26, Whitney Green (Metro), 3
27, Whitney Green (Waterline), 6
28, Morganstown Docks, 6
29, Port Benton, 5
30, Angel Pass, 3
31, Bodin, 3
32, Coxly Newtown, 3
33, Barton, 3
34, Denton Road, 3
35, Elsmere Pond, 3
36, Coxly, 3
37, Benton, 5
38, West Benton, 4
39, Faraday Road, 4
40, Eden Quay, 4
41, Newry, 4
42, Newry Harbour, 4
43, Cambridge Street Parkway, 5
44, Ashlan Park, 5
45, Connoly, 5
46, Airport West, 8
47, James Street, 8
48, Farleigh, 8
49, Rosedale Village, 8
50, Esterfield, 8
51, Benton Bridge, 6
52, Airport Parkway, 7
53, Airport Central, 7
54, Terminal 1, 7
55, Terminal 3, 7
56, Terminal 2, 7
57, Hampton Hargate, 6
58, Upper Staople, 6
59, Water Newton, 9
60, Rocket Parade, 9
61, Leighton Stepford Road, 9
62, Leighton City, 9
63, Leighton West, 9
64, Aslockby, 9
65, Carnalea Bridge, 9
66, Rayleigh Bay, 9
67, Edgmead, 9
68, Faymere, 9
69, Westercoast, 9
70, Millcastle Racecourse, 9
71, Millcastle, 10
72, Westwyvern, 10
73, Staryloch, 10
74, Northsore, 10
75, Llyn-by-the-Sea, 10
